Alert;05:50:00;05:51:50
Short SWS-like;05:51:50;05:53:18
QHH;05:53:18;05:53:24
Short SWS-like;05:53:24;05:53:38
OEM;05:53:38;05:55:36
Short SWS-like;05:55:36;05:57:14
Alert;05:57:14;06:03:05
QOP;06:03:05;06:04:13
QHH;06:04:13;06:04:24
Alert;06:04:24;06:08:18
QOP;06:08:18;06:11:58
Alert;06:11:58;06:35:45
QOP;06:35:45;06:37:24
QHH;06:37:24;06:37:28
QOP;06:37:28;06:38:23
QHH;06:38:23;06:38:26
Long SWS-like;06:38:26;06:54:08
REM-like;06:54:08;06:54:27
Alert;06:54:27;06:54:52
QOP;06:54:52;06:55:15
Long SWS-like;06:55:15;07:06:59
QHH;07:06:59;07:07:18
Long SWS-like;07:07:18;07:29:07
Alert;07:29:07;07:36:47
Long SWS-like;07:36:47;08:03:57
Alert;08:03:57;08:16:04
Long SWS-like;08:16:04;08:38:38
Alert;08:38:38;08:51:07
QOP;08:51:07;09:24:07
Alert;09:24:07;09:41:07
QOP;09:41:07;10:04:32
Alert;10:04:32;10:05:25
QOP;10:05:25;10:07:07
Alert;10:07:07;10:09:05
QOP;10:09:05;10:27:15
Short SWS-like;10:27:15;10:28:57
QHH;10:28:57;10:29:18
Long SWS-like;10:29:18;10:42:14
REM-like;10:42:14;10:43:10
Alert;10:43:10;10:43:41
Long SWS-like;10:43:41;11:04:12
Alert;11:04:12;11:06:05
Short SWS-like;11:06:05;11:09:07
Alert;11:09:07;11:16:15
